train  1   mean_loss  tensor(0.9077)   num   tensor(4)  accuracy  tensor(0.8000, dtype=torch.float64)
valid  1   mean_loss  tensor(4.9988)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
train  51   mean_loss  tensor(17.9994)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
valid  51   mean_loss  tensor(6.0470)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
train  101   mean_loss  tensor(8.8596)   num   tensor(2)  accuracy  tensor(0.4000, dtype=torch.float64)
valid  101   mean_loss  tensor(6.0669)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
train  151   mean_loss  tensor(14.8837)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  151   mean_loss  tensor(6.3138)   num   tensor(1)  accuracy  tensor(0.0078, dtype=torch.float64)
train  201   mean_loss  tensor(4.5443)   num   tensor(3)  accuracy  tensor(0.6000, dtype=torch.float64)
valid  201   mean_loss  tensor(6.1266)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
train  251   mean_loss  tensor(7.8378)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  251   mean_loss  tensor(5.8879)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
train  301   mean_loss  tensor(1.2933)   num   tensor(3)  accuracy  tensor(0.6000, dtype=torch.float64)
valid  301   mean_loss  tensor(7.2288)   num   tensor(1)  accuracy  tensor(0.0078, dtype=torch.float64)
train  351   mean_loss  tensor(13.0218)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
valid  351   mean_loss  tensor(5.8120)   num   tensor(1)  accuracy  tensor(0.0078, dtype=torch.float64)
train  401   mean_loss  tensor(15.4958)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
valid  401   mean_loss  tensor(5.6731)   num   tensor(3)  accuracy  tensor(0.0234, dtype=torch.float64)
train  451   mean_loss  tensor(9.0700)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  451   mean_loss  tensor(6.5458)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  501   mean_loss  tensor(7.1515)   num   tensor(2)  accuracy  tensor(0.4000, dtype=torch.float64)
valid  501   mean_loss  tensor(6.9978)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  551   mean_loss  tensor(18.6454)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  551   mean_loss  tensor(5.0265)   num   tensor(1)  accuracy  tensor(0.0078, dtype=torch.float64)
train  601   mean_loss  tensor(9.5630)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  601   mean_loss  tensor(5.1501)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  651   mean_loss  tensor(16.0347)   num   tensor(2)  accuracy  tensor(0.4000, dtype=torch.float64)
valid  651   mean_loss  tensor(5.5399)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  701   mean_loss  tensor(9.7239)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  701   mean_loss  tensor(5.6731)   num   tensor(1)  accuracy  tensor(0.0078, dtype=torch.float64)
train  751   mean_loss  tensor(12.6283)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  751   mean_loss  tensor(6.6894)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  801   mean_loss  tensor(3.2924)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  801   mean_loss  tensor(5.4640)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  851   mean_loss  tensor(6.3252)   num   tensor(3)  accuracy  tensor(0.6000, dtype=torch.float64)
valid  851   mean_loss  tensor(5.1151)   num   tensor(2)  accuracy  tensor(0.0156, dtype=torch.float64)
train  901   mean_loss  tensor(7.1282)   num   tensor(1)  accuracy  tensor(0.2000, dtype=torch.float64)
valid  901   mean_loss  tensor(6.8163)   num   tensor(3)  accuracy  tensor(0.0234, dtype=torch.float64)
train  951   mean_loss  tensor(13.3075)   num   tensor(0)  accuracy  tensor(0., dtype=torch.float64)
valid  951   mean_loss  tensor(5.8057)   num   tensor(3)  accuracy  tensor(0.0234, dtype=torch.float64)
